Review,Sentiment
плохо плохо,0
быстро качественно,1
работа удовлетворять компания странный,1
получать товар сдэк,0
сдэк рекомендовать,0
ужас,0
ужасный компания,0
бардак пофигизм лень,0
жалко относиться свой обязанность,0
отвратительно,0
беречь нерв деньги пользоваться услуга,0
отвратительный сервис некомпетентный менеджер,0
хороший компания,1
почта россия оказываться хорошо дешево сдэк,0
плохой приятный,0
очень плохой фирма долгий врать стесняться,0
ужас,0
отвратительный обслуживание,0
плохой служба доставка,0
раздолбай,0
проблема,1
оказание услуга надлежащий качество сдэк некомпетентный сотрудник сдэк,0
жуть,0
крайний клиент,0
отлично,1
подводить молодец хорошо работать,1
неплохой адекватный цена,1
судя скорость посылка носить пешком,0
кошмарный,0
просто съездить велосипед посылка китай,0
простота стабильность,1
сдэк,0
сдэк подводить,0
потерять документ вернуть деньги,0
абсолютный некомпетентность курьер,0
никогда,0
уровень сервис очень низкий,0
сдэк знать слово профессионализм клиентоориентированность,0
отличный доставка,1
отвратительно,0
самый отвратительный компания свет,0
цена доставка мочь очень неожиданный,0
обязательный контора лжец линия поддержка,0
ужасный отношение наглость который предел,0
ожидать насколько проблема получаться осуществлять отправка,1
сплошной негативный опыт,0
пять день доставка город это экспресс это позор,0
компания работать двойка мало,0
ужасный работа хамство неуважение клиент магазин,0
соблюдение срок доставка безразличие отношение покупатель,0
плохой курьерский компания сдэк,0
привозить посылка предупреждать отмена доставка,0
отвратительно,0
третий неделя мочь отправлять посылка,0
сдэк отдавать посылка,0
плохо ничто видеть,0
отвратительный работа,0
ужасный контора,0
плохой организация неграмотный сотрудник,0
компетентность наплевательский отношение,0
утеря груз сдэк,0
пора курьер назанчет день доставка,0
никогда условие пользоваться услуга сдэк,0
мошенник,0
ужасный сервис вопрос оплата решаться,0
глаз сдэк оправдывать,0
сдек мочь поменять адрес доставка,0
знать побуждать человек снова обращаться компания,0
ужасно,0
дурдом,0
молодец,1
обман,0
отвратительно,0
это просто смешной,0
плохо,0
рекомендовать,1
стоить доверяться,1
возможность хорошо выбирать доставка ваш заказ курьерский компания,0
никогда обращаться данный компания,0
работа клиент просто ноль,0
сдэк быстрый экспресс доставка,1
никакой уважение клиент шарашкин контора,0
сдэк очень плохо,0
ужас,0
по-моему данный служба доставка просто любить издеваться человек,0
компания соблюдать срок доставка товар советовать связываться,0
доставлять быстро быстрый,1
год сотрудничество подготовка важный соревнование,1
это курьерский служба издевательство полный отсутствие понимание делать,0
отправляейт смерть либо задержать либо потерять,0
тухляк,0
служба доставка экспресс курьер сдэк деньги платить товарищ,0
советовать,0
мошенник,0
доставлять посылка захотеть мочь сдэк,0
клиент обходить сторона,0
быстро зачастую недорого ноооо нюанс,1
судя цена считать беларусь область россия,1
ужасный компания отношение хрупкий груз мешок картошка никто никакой ответственность нести доказывать ничто реально,0
самый отвратительный компания,0
хотеть хорошо получаться,0
неумелый ложь,0
сдэк,0
вопиять халатность,0
курьерский служба который вовсе желать доставлять посылка,0
заслуживать звезда полный возмущение,0
хамить решать вопрос,0
шок рейтинг это хороший служба доставка скорость качество высота проверять заказ последний оформлять дистанционно вышивка фото прилагать сдэк курск,1
курьерский служба доставка сдэк некомпетентный весь отношение,0
экспресс экспресс,0
сдэк москва токсичный доставка,0
компания нулевой сервис который соблюдать срок,0
хотеть пожалеть заказывать сдэк,0
доверять,1
посылка вскрывать помять доставлять задержка день,0
нормально,1
сдэк нога,0
рекомендовать,0
отличный служба доставка оперативно качественно профессионально,1
ост тся первый место никогда очередь компетентный сотрудник оперативный качественный работа,1
сидеть ждать названивать заниматься нечего кроме выслушивать ваш недовольство сказать оператор пойти наворачивать пятый булка десятый чашечка чай,0
ужас,0
вскрылипосылка,0
ужас,0
ошибка испортить весь отношение,0
самый ужасный транспортный компания доставка товар интернет магазин,0
совершенно безответственный компания сотрудник,0
опыт,1
сдек ухта хорошо связываться,0
отзыв организация,0
возмущать,0
отвратительно,0
кошмар,0
советовать недорого быстро почта,1
никогда обращаться компания сдэк потеря время деньги нерв сила,0
обслуживание ужас четвертый день мочь получать посылка,0
плохой доставка который когда-либо видеть,0
иметь дело сдэк никогда,0
сдэк почта россия,0
хорошо обращаться компания,0
нечто средний коллектор доставщик,0
дико фортануть,1
загадка непрерывно лгать груз везти ответ сдэк,0
удержание,0
отличный курьер рукодельник бизнес,1
,0
сказ работник сдек искать весь город,1
отвратительный транспортный компания,0
разбивать посылка выплачивать компенсация,0
действительно экспресс доставка,1
семь пятница неделя,0
доставлять захотеть,0
пункт самовывоз,0
отвратительно,0
вежливый игнор клиент,0
сломать план из-за некомпетентность наплевательство,0
отвратительный организация потратить время нерв,0
ужасно полный обман свой клиент,0
сдек это позор,0
сдэк прощать,0
плохой почта россия,0
многие недовольный придираться,1
сдэк пермь опыт пока единичный,1
воспользоваться советовать,1
страшновато,1
очень плохо,0
непонятный,0
мочь кинуть,0
отвратительно,0
почтальон печкин,0
экспресс должный закрывать,0
ужасный служба доставка безответственный некомпетентный сотрудник,0
осторожно фирма работать мошеник,0
это плохо почта россия гораздо плохо,0
рекомендовать,1
удаваться получать посылка сразу готовиться потратить уйма время нерв,0
отвратительно,0
ужасный компания сломать дорогой груз извиняться,0
ужасный отношение клиент,0
сдэк плохой выбор,0
ставить единица нормально пока дпло доходить хрупкий груз,0
хотеть испортить настроение выбирать сдек отзыв дополнять,0
год постоянный клиент,0
трэш просто трэш связываться,0
рассказывать опыт взаимодействие компания сдэк плюс минус который сталкиваться,1
служба доставка сдэк срочно точно сюда,0
это сдек детка,0
категорически рекомендовать сдэк,0
ужасный компания,0
самый отвратный служба доставка,0
позор,0
самый отвратительный служба доставка который приходиться сталкиваться,0
мат мат перемат,0
наш девиз никогда доставлять вовремя пытаться дозваниваться,0
отвратительный отношение клиент,0
отвратительный сервис,0
самый плохой служба доставка неадекватный персонал хотеть ваш посылка разбивать потерять сюда,0
попробовать разбираться,0
огорченный,0
экспресс доставка логистика это сдэк,0
рекомендовать,0
ужасный компания,0
хороший почта россия,0
отвратительный служба,0
собственно говорить почему,1
служба доставка сдэк хорошо доставка присутствовать,1
ужасно жлобство,0
удивительный обсуживание компания,0
убитый нерв сдэк гарантировать потерянный посылка легко,0
пеший курьер быстро москва питер добежать служба доставка экспресс курьер,0
ужасно,0
это ужас,0
доставка занимать день это сказка почему плохой оценка смочь разгадывать почта россия дорогой это правда,1
подвох,0
это намного плохой почта,0
детский сад служба доставка пользоваться услуга планировать,0
история сдэк испортить праздник многий человек который выбирать служба доставка,0
воровство компания сдэк,0
хорошо отправлять почта россия,0
балл айрека служба доставка шутка испугаться думать сдэк это низкий цена оперативный работа обслуживание хорошо привычный почтовский скрин путь посылка фото офис компания внутри,1
самый обычный доставка это везучий,1
возмущать очень безответственный компания время потерять заказ получать,0
ужасный обращение посылка,0
отвратительный компания рекомендовать,0
мега быстро дешевый однако пользоваться,1
плохой почта россия воровство компенсировать,0
печаль беда,0
огромный разочарование,0
потерять посылка деньги вернуть,0
самый печальный опыт пользование услуга курьерский доставка,0
заплатить рубль купить геморрой опыт сдэк,0
страна чудо,0
видимо очень везти быстро аккуратно точно срок,1
плохой сервис,0
это ужас кошмар невообразимый пипец,0
сдэк пешком постоять история ожидание,0
безответственный капля уважение клиент,0
сдэк дождаться старуха свой корыто,0
компания кануть лет посылка доставлять,1
раскрутка блог помогать сдэк,1
никогда жизнь связываться ребенок малый логистический компания шесть косяк доставка который получать ужас человек хорошо почта россия честный слово,0
приходиться потратить время нерв связываться,0
это тихий ужас,0
история положительный впечатление компания превращаться резко отрицательный,0
служба доставка сдэк из-за посылка машина гнать,0
сдэк доставка долго почта россия,1
филиал земля,0
спускаться свой посылка понести пятый этаж курьер,0
хотеть проводить весь день розыск свой посылка сдэк,0
история хороший конец нервотрепки,0
доставлять вовремя это,0
первый встречать данный доставка алиэкспресс,1
сдэк отдавать полностью оплачивать посылка,0
спасибо сдэк испортить новый год,0
компания присваивать посылка клиент,0
это мат который поливать служба,0
компания что-то,0
ужас никогда обращаться компания,0
экспресс доставка беременный улитка почему это россия детка,0
беспредел отдавать посылка,0
доставка отвечать свой обязательство понимать происходить внутри,0
никогда работать сдэк,0
ужасно потратить день бесполезный ожидание согласованный курьер коллцентр коллапсировать связь офис,0
вполне достойный компания доставка день москва владивосток,1
первый сталкиваться доставка китай ожидать,1
хороший первый конфликт,0
искать альтернатива,0
отвратительно весь этап,0
компания мошенник,0
ужасный служба доставка безответственный курьер,0
экспресс блин,0
сдэк узнавать,0
стоить переплачивать собственный спокойствие гнаться сомнительный дешевизна,1
пол год пользоваться услуга компания сдек впечатление,0
доставка заказ сдэк неприятно удивлять хотя мочь наложиться фактор судить,0
вскрывать посылка,0
ужасный отношение клиент,0
неплохо офис нчк высота,1
груз вес мало объем мало кубометр склад сдек красногорск адрес адресат маленький доставлять день непонятно продолжать работать конкурентный рынок доставка,0
крайне довольный,1
новый год сдэк час день тратить потерянный посылка,0
максимальный цена срок,0
отвратительно,0
служба эскпресс доставка сдэк,0
хороший доставка,1
рекомендовать ценить свой время нерв,0
крайне довольный служба,0
крайне правильно работать,0
нужно отправлять что-то срочный пользоваться услуга сдэк,0
держать обещание,0
хороший служба,1
ужасно что-то нравиться писать претензия помогать мочь,0
отвратительно,0
безобразный доставка,0
туда,0
ужас,0
это экспресс доставка медленно почта,0
соблюдать срок доставка,0
ужасный транспортный компания,0
отвратительно,0
ужас,0
ужасный обслуживание рекомендовать,0
отвратительный служба поддержка владеть информация нужный доставка срок это сдэк вместо тарифный срок день доставлять вина склад отправлять наземный доставка вместо авиа происходить какой-то ошибка,0
получать посылка,0
отвратительный служба доставка кой случай пользоваться,0
навигатор отличный вещь советовать курьер компания сдэк приобретать,0
отвратительно,0
отвратительный отношение клиент,0
очень довольный восхище работа персонал фирма целое,1
доставка голубь быстро ответственно позор,0
ужас,0
ужас,0
работа сдэк челябинск,1
безответственность хамство,0
очень хороший служба доставка называться желдорэкспедиция никогда связываться сдэк,0
уверенность,1
сдэк это самый отвратительный служба доставка,0
бессмысленно долго полный отсутствие сервис,0
ужасный компания,0
отвратительно,0
отвратительно,0
рекомендовать,0
безответственность,0
бардак,0
самый плохой служба доставка,0
трэш,0
фото разный филиал мнение,1
издеваться клиент,0
никто посоветовать данный компания,0
враг пожелать доставка,0
отвратительный служба,0
возможность выбирать пусть дорого выбирать,0
советовать пользоваться услуга компания сдэк,0
шарага,0
это какой-то кошмар кой случай выбирать доставка,0
отвратительный доставка следить посылка статус,0
подводить,1
разочарование полный,0
убогий медленный дорогой доставка,0
часто выбирать магазин выбор доставка сдэк ехать весь город знать проблема трек отслеживать советовать пользоваться весь время год четыре минимум проблема класс,1
никогда доставлять проблема,1
дорогой сотрудничать компания советовать,0
понравиться колл центр,0
ужасно,0
советовать,0
самый плохой компания доставка,0
ужас связываться,0
ужасный сервис обращаться,0
непрофессионализм,0
плохой компания доставка,0
довольный работа компания,1
великолепный служба доставка,1
огорчать рано подводить,0
советовать сотрудничать,0
отвратительный компания,0
плохо почта россия,0
кошмарный контора,0
видеть смысл рекомендовать,1
весь очень плохо,0
удивительный ряд никакой нарекание работа служба,1
первый последний использовать компания,0
хорошо,1
отвратительный доставка,0
нервотр пка регулярный срыв срок,0
посредственный служба плохой сервис менее справляться поставлять задача,0
непорядочный компания,0
нормальный доставка нарекание,1
полный некомпетентность персонал,0
гавноконтора,0
обращаться компания проблема,0
отвратительный сервис отношение клиент,0
мочь обваровывоть компания семья инвалид,0
ужасно мочь,0
никогда обращаться,0
некомпетентный медленно,0
нагло обманывать человек,0
хватить это терпеть,0
лохотрон,0
провальный первый впечатление сервис сказать поехать проехать мимо,0
отвратительно,0
мошенничество сторона поддержка такси,1
попадаться грубый водитель,0
рассказ проехать эконом дорого комфорт,0
отвратительный сервис,0
списывать деньги поездка который совершать,0
просто жесть твой деньги,0
хамский отношение клиент опаздывать работа благодаря яндекс такси,0
наш такси работать ради удобство экономия время наш такси везти качество одолжение,0
кармический пощечина,0
хам водитель грозиться высаживать трасса прекращать поездка заплатить рука,0
судя оценка очевидный везунчик водитель приятный машина аккуратный время ожидание превышать минута,1
рекомендовать,0
скупой платить дважды обман расч стоимость сайт,0
аферист,0
яндекс такси стойка шереметьево обман позор,0
хитротакси,0
быстро дешево сервис неприятный,0
печальный опыт обращение яндекс такси смотря прекрасный цена,0
поездка состояться,0
тихий ужас,0
шок,0
хороший,1
дешево маршрутка,1
пока ничто плохой крайний мера оплачивать,1
нормально иной попадаться редкий неадекват,1
ужасный такси неадекватный водитель,0
отвратительно просто слово,0
плохой служба такси говорить честный мнение год поездка яндекс,1
оценка заслуженно поставлять,0
очень плохо,0
вынос мозг закалять нервный система,0
семья,0
кошмар,0
рубль списывать лишний,0
реконмендовать,0
хорошо метро,0
ваш заказ принимать,0
отвратительно,0
почему становиться редко пользоваться яндекс такси,1
отказываться везти обматерить,0
ужасный такси,0
никогда,0
разводилов,0
пользоваться услуга яндекс такси очень крайний случай немного водитель,0
самый удобный сервис такси,1
советовать,0
самый большой парк москва,1
никогда пользоваться,0
срабатывать,0
обычно рано хорошо,0
яндекс такси это дорого,0
разочаровывать яндекс такси,0
очень качественный такси понравиться,1
таксист знать город навигатор,0
отменять заказ минута подача такси,0
двоякий чувство,0
откуда столько негатив друг яндекс такси стоять первый место рейтинг пользоваться часто удобно недорого быстро самостоятельно выбирать подходить параметр простой приложение использование,1
ужасно вестись низкий цена,0
списывать деньги поездка который оплачивать год назад,0
никогда,0
первый блин ком,0
ужас грабить,0
развод,0
законченный хамство,0
безобразие,0
петербург день взрыв,1
рекомендовать оплачивать банковский карта,0
обман,0
сплошной обман,0
мошенник,0
постоянно ухудшаться сервис,0
мошенничество,0
фуууууу,0
ваш ожидание соответствовать реальность,0
яндекс такси полный лохотрон,0
промокод,0
хороший сочетание цена время ожидание,1
развод по-сочински,0
шарашкин контора,0
отвратительный работа служба поддержка,0
отличный такси,1
кидаловый,0
официальный воровство карта клиент,0
ненадежный сервис,0
взять нужно,0
отвратительный обслуживание,0
пользоваться яндекс такси крайняк,0
угроза жизнь,0
недобросовестный отношение,0
испортить хороший вечер,0
ужасный момент,0
стоимость поездка скакать невиданный скорость рано восторг яндекс такси мнение круто изменяться неспроста подробность отзыв,0
,0
подача такси течение вечность,0
