Review,Rating
ХУЖЕ НЕКУДА!!!,1
Отвратительно,1
Доставка отвратительная.,1
В принципе терпимо,4
Худшая компания по доставке,1
"*** Только положительные эмоции, обслуживание на высоте! *** (+ скриншоты)",5
Только не эта служба доставки!,1
ХАМСТВО и БАРДАК! Такого стресса я ещё не получала!!!,1
пешком быстрее,1
Отвратительная служба доставки.,1
Ужасная компания СДЕК,1
Жесть сдэк,1
СДЕК Самая худшая доставка из всех,1
Всё очень плохо,1
Транспортная компания СДЭК -НЕ СОВЕТУЮ!!!,1
Кошмар!! Контора- дно(,1
Лентяи,2
"Хамство, скрывающееся за вежливыми улыбочками.",1
Обходите стороной эту транспортную компанию!,1
Хамство со стороный сотрудницы в пункте выдачи в подмосковной Ивантеевке,1
это провал,1
Служба НЕдоставки!,1
Хуже организации я не видел с 90-х.,1
"Сначала заплатите за не оказанную услугу, а потом вернем деньги",2
Оперативная и удобная доставка,5
Никогда не пользуйтесь этой службой доставки,1
Отвратительное обслуживание,1
свинское отношение к клиентам,1
"Никто не за что не отвечает, но деньги берут за все",1
Все хуже и хуже!!!!!,2
Быстро и качественно!!!,5
"Работой удовлетворен, но компания странная.",4
Как получал товар в СДЭКе,1
СДЭК не рекомендую!,1
Ужас,1
Ужасная компания!,2
"CDEK - &quot;Бардак, пофигизм и лень&quot;.",1
"Жалко, что они так относятся к своим обязанностям((",1
Отвратительно!,1
"Берегите нервы и деньги, не пользуйтесь их услугами.",1
Отвратительный сервис и некомпетентные менеджеры!,1
Хорошая компания.,5
"Почта России оказывается лучше и дешевле, чем СДЭК!",1
ПЛОХО И НЕ ПРИЯТНО!,1
"очень плохая фирма, долгая и врут не стесняясь",1
Ужас!,1
Отвратительное обслуживание,1
Худшая служба доставки,1
раздолбаи,1
Без проблем.,5
Оказание услуг не надлежащего качества СДЭК. Некомпетентные сотрудники СДЭК.,1
Жуть,1
У CDEK крайние - клиенты.,2
Отлично,5
"меня не подводила, молодцы, хорошо работают.",5
Неплохая ТК с адекватными ценами,4
"Судя по скорости, посылки по РФ носят пешком.",1
Кошмарно,1
Проще было самому съездить на велосипеде за посылкой в Китай,1
Простота и стабильность),5
СДЭК,1
СДЭК подвел!,1
"Потеряли документы, кто вернет деньги?",1
Абсолютная некомпетентность курьера,2
НИКОГДА,1
Уровень сервиса очень низкий,1
СДЭК не знают слов &quot;профессионализм&quot; и &quot;клиентоориентированность&quot;!,1
Отличная доставка,5
Отвратительно!!!,1
Самая отвратительная компания на свете!!!,1
Цена доставки может быть очень неожиданной,1
Не обязательная контора со лжецами на линии поддержки,1
Ужасное отношение! Наглость которой нет предела.,1
"Не ожидала, насколько без проблем получилось осуществить отправку.",5
один сплошной негативный опыт,1
"Пять дней доставки по городу это не экспресс, это позор.",2
"Компания работает на двойку, если не меньше!",2
"Ужасная работа, хамство и неуважение к клиентам-магазинам",2
"не соблюдение сроков доставки, безразличие по отношению к покупателям",1
одна из худших курьерских компаний- СДЭК,1
Не привозят посылки и не предупреждают об отмене доставки,1
ОТВРАТИТЕЛЬНО !,1
Третью неделю не могут отправить посылку,1
СДЭК не отдают посылку,1
Хуже еще ничего не видела,1
Отвратительная работа,1
УЖАСНАЯ КОНТОРА!,1
"Плохая организация, неграмотные сотрудники.",1
"не компетентность, наплевательское отношение",1
Утеря груза СДЭК,1
С каких пор курьер назанчет день доставки?,1
Никогда и ни при каких условиях не пользуйтесь услугами СДЭК,1
Мошенники,1
"Ужасный сервис, вопросы с оплатами не решаются",1
В моих глазах СДЭК себя оправдал.,3
СДЕК не может поменять адрес доставки?,1
Не знаю что побуждает людей снова обращаться в эту компанию...,1
Ужасно,1
дурдом,1
Вы молодцы!,5
Обман,1
Отвратительно,1
Это просто смешно,1
плохо,1
Рекомендую!,4
За что стоит довериться?,5
ПРИ ВОЗМОЖНОСТИ ЛУЧШЕ ВЫБИРАЙТЕ ДЛЯ ДОСТАВКИ ВАШИХ ЗАКАЗОВ ДРУГУЮ КУРЬЕРСКУЮ КОМПАНИЮ …)),2
Никогда не обращайтесь в данную компанию.,1
Работа с клиентами просто на НУЛЕ,1
СДЭК быстрая экспресс доставка,5
"Никакого уважения к клиенту, шарашкина контора",1
В СДЭКЕ ВСЁ ОЧЕНЬ ПЛОХО,1
Ужас,1
По-моему данная служба доставки просто любит издеваться над людьми!,2
Компания CDEK не соблюдает сроки доставки товара!!!  Не советую связываться!,1
Доставляют быстрее быстрого,5
4 года сотрудничества при подготовке к важным соревнованиям.,5
"Это не курьерская служба(издевательство и полное отсутствие понимания, что они делают)",1
"Отправляейте CDEK за смертью: либо задержут, либо потеряют!",1
Тухляк,1
"Служба доставки Экспресс-Курьер (СДЭК) - И за что вам только деньги платят, товарищи???",3
Не советую,1
Мошенники,1
"Мы доставим вам посылку тогда,когда захотим.(может быть)- СДЭК",1
Клиенты обходите их стороной,1
"Быстро и зачастую недорого, ноооо не без нюансов! :)))",4
"Судя по цене, считают Беларусь областью России",5
"Ужасная компания. Отношение к хрупкому грузу, как к мешками с картошкой. И никто никакой ответственности не несет. Доказать ничего не реально.",1
Самая отвратительная компания!!,1
"Хотели как лучше, получилось как всегда",1
неумелая ложь,1
Что не так со СДЭКом?,2
Вопиющая халатность!!!,1
"&quot;Курьерская служба&quot;, которая вовсе не желает доставлять посылки!",1
Не заслуживают ни одной звезды! я полна возмущения!,1
Хамят и не решают вопрос!,1
"Я в шоке от её рейтинга здесь! Это лучшая служба доставки для меня! Скорость и качество на высоте, проверено тремя заказами! Последними были оформленные дистанционно вышивки, их фото прилагаю. СДЭК в г. Курске",5
Курьерская служба доставки СДЭК некомпетентна во всех отношениях.,1
Экспресс без экспресса :),1
СДЭК-Москва - токсичная доставка,1
"Компания с &quot;нулевым &quot; сервисом, которая не соблюдает сроки.",2
"Хочешь пожалеть, закажи через СДЭК",1
Можно ли доверять!?,4
"Посылка вскрыта, помята, доставлена с задержкой на 5 дней!",1
Всё нормально,5
Больше в СДЭК ни ногой !,1
Не рекомендую,1
"Отличная служба доставки! Оперативно, качественно, профессионально!",5
"Для меня она остаётся на первом месте.Никогда нет очереди,компетентные сотрудники,оперативная и качественная работа.",5
"Сидите ждите, что вы названиваете? Нам тут больше заняться нечем, кроме того, чтобы выслушивать ваши недовольства! - сказала оператор и пошла наворачивать пятую булку с десятой чашечкой чая.",1
Ужас,1
ВскрылиПосылку,1
Ужас!!!,1
эх...одна ошибка испортила все отношения...,1
Самая ужасная транспортная компания по доставке товаров из интернет – магазинов,1
Совершенно безответственная компания и сотрудники,1
Мой опыт,4
СДЕК Ухта - Лучше не связываться,1
отзыв об организации,1
Возмущена!!,1
Отвратительно,1
Кошмар!,1
Советую. Недорого и быстрее чем Почта,5
"Никогда не обращайтесь в компанию СДЭК. Потеря времени, денег, нервов и сил",1
Обслуживание - ужас Четвертый день не могу получить посылку.,1
"Худшая доставка, которую я когда-либо видела",1
Не имейте дела со СДЭК никогда!,1
СДЭК = Почта России,1
лучше обратиться в другую компанию,1
Нечто среднее между коллектором и доставщиком.,2
А мне с ними дико фортануло),5
"Загадка - кто непрерывно лжет, но груз не везет? Ответ - СДЭК.",1
Удержание,1
Отличные курьеры для рукодельников и бизнеса!,5
Больше ни разу!!!,1
"Сказ о том, как работник СДЕКа искал меня по всему городу.",5
отвратительная транспортная компания CDEK,1
Разбили посылку. Не выплатили компенсацию.,1
Действительно Экспресс доставка!!!!,5
Семь пятниц на неделе...,1
Доставляют когда захотят,1
только пункты самовывоза,2
Отвратительно,1
вежливый игнор клиента,1
Сломанные планы из-за некомпетентности и наплевательства,1
"Отвратительная организация, с ней вы потратите время и нервы",1
Ужасно. Полный обман своих клиентов.,1
СДЕК - это позор!!!!!,1
СДЭК прощай,2
Хуже Почты России,1
"Многие недовольны, а мне придраться не к чему!",5
"СДЭК в Перми (мой опыт, пока что единичный)",5
Сам воспользуюсь и вам советую,5
Было страшновато......,5
Всё очень плохо!!!,1
Непонятное.,1
Могут кинуть,3
Отвратительно,1
Почтальон Печкин,1
Такие &quot;экспрессы&quot; должны быть закрыты.,1
УЖАСНАЯ СЛУЖБА ДОСТАВКИ И БЕЗОТВЕТСТВЕННЫЕ НЕКОМПЕТЕНТНЫЕ СОТРУДНИКИ! ,1
"осторожно, в этой фирме работают мошеники!",1
"Это хуже, чем Почта России! Гораздо хуже!",1
Рекомендую!,4
Не удалось получить посылку сразу - готовьтесь потратить уйму времени и нервов,2
Отвратительно.,1
Ужасная компания! Сломали дорогой груз и даже не извинились!,1
Ужасное отношение к клиентам,1
СДЭК - плохой выбор,1
"Ставлю единицу. Всё было нормально, пока дпло не дошло до хрупкого груза.",1
"Если хотите испортить себе настроение, выбирайте СДЕК! Отзыв дополнен 22.11.17.",3
"Три года я была постоянным клиентом, но...",1
"Трэш, просто трэш!!! Не связывайтесь с ними...",2
"Расскажу об опыте взаимодействия с компанией СДЭК и плюсах и минусах, с которыми столкнулась.",4
Служба доставки СДЭК. Вам надо срочно? Тогда вам точно не сюда,2
"Это СДЕК, детка!",1
Категорически не рекомендую СДЭК!,1
Ужасная компания!,1
Самая отвратная служба доставки,1
ПОЗОР,1
"Самая отвратительная служба доставки, с которой мне приходилось сталкиваться",1
Один только мат-мат-перемат,1
Наш девиз: Никогда не доставляем вовремя или не пытайся дозвониться,1
Отвратительное отношение к клиентам!,1
отвратительный сервис,1
"Самая худшая служба доставки, неадекватный персонал, если хотите чтобы Вашу посылку разбили или потеряли- Вам сюда)",1
Попробуй разберись,3
Огорчен,1
ЭКСПРЕСС-ДОСТАВКА?! Нет уж! Логистика - это не про СДЭК.,1
Не рекомендую,1
Ужасная компания.,1
Да уж лучше Почтой России,1
ОТВРАТИТЕЛЬНАЯ СЛУЖБА,1
"Собственно говоря, а почему нет???♥",5
"Служба доставки СДЭК - все бы хорошо, и доставка присутствует, одно но...",4
"Ужасно, одно жлобство.",1
Удивительная по обсуживанию компания,1
"Убитые нервы, СДЭК гарантирует! Потерянные посылки - легко!",1
"Пеший курьер и то быстрее бы из Москвы в Питер добежал, чем Служба Доставки Экспресс-Курьер CDEK",1
Ужасно,1
Это ужас!,1
"3700 км и доставка заняла всего три дня? Да,и  это не сказка!Почему так много плохих оценок?Так и не смогла разгадать. Почта России дороже и это правда!",5
Подвох,1
Это намного хуже Почты РФ!,1
"Детский сад, а не служба доставки. Пользовалась их услугами два раза, больше не планирую.",2
"История о том как &quot;СДЭК&quot; испортил мне праздник, как и многим другим людям, которые выбрали их службу доставки",1
Воровство в компании СДЭК,1
Лучше бы отправила Почтой России,1
"Два балла на Айреке у этой службы доставки? о_О Я не на шутку испугалась!!! ...но вот что я ТЕПЕРЬ думаю о СДЭК: это НИЗКИЕ ЦЕНЫ, оперативная работа и ОБСЛУЖИВАНИЕ ПОЛУЧШЕ привычного ПОЧТОВСКОГО:) Скрин пути МОЕЙ ПОСЫЛКИ +++ ФОТО ОФИСА компании ВНУТРИ!! ヅ",4
Самая обычная доставка или это я такая везучая?,4
Возмущена! Очень безответственная компания. Время потеряла - заказ не получила!,1
Ужасное обращение с посылками,1
Отвратительная компания! Не рекомендую!,1
"не то чтобы мега-быстро, ни разу не дешево, однако пользоваться можно",4
Хуже Почты России. Воровство не компенсируют.,1
Печаль беда,1
Огромное разочарование!,1
"Потеряли посылку, деньги не вернули",1
Мой самый печальный опыт пользования услугами курьерской доставки!,1
&quot;заплати 600 рублей и купи геморрой&quot; или мой опыт с СДЭК,1
Страна Чудес,1
"Видимо, мне очень везет. Быстро, аккуратно, точно в срок.",5
Худший сервис,1
ЭТО УЖАС КОШМАР И НЕВООБРАЗИМЫЙ ПИПЕЦ,1
"-СДЭК? - нет, я пешком постою. История ожидания.",2
"Безответственные, ни капли уважения к клиентам",1
Сдэк уже не тот. &quot;Так и не дождалась старуха своего корыта&quot;.,1
"Компания SPSR канула в лету, и теперь посылки Yves Rocher доставляет СDEK",5
В раскрутке блога мне помогает СДЭК,5
"ДА НИКОГДА В ЖИЗНИ больше не свяжусь. Дети малые а не логистическая компания! ШЕСТЬ косяков в одной доставке, которую я так и не получила! УЖАС люди, лучше уж Почта России, честное слово!",1
"Приходится потратить и время, и нервы. Зачем я опять связалась со CDEK?!",2
Это тихий ужас!,1
"История о том, как положительное впечатление об этой компании превратилось в резко отрицательное!",1
Служба доставки СДЭК: &quot;Мы из-за одной посылки машину гнать не будем&quot;,1
СДЭК — доставка дольше Почты России.,4
Филиал Ада на Земле,1
«Сами спускайтесь за своей посылкой! Я не понесу ее на пятый этаж!» Ты курьер или кто?,1
"Хотите провести весь день в розыске своей посылки, тогда вам в СДЭК",1
"Мои три  истории  с  хорошим  концом,  но НЕ  без  нервотрепки",3
Доставить вовремя? А это как?,1
Первый раз встречаю данную доставку на алиэкспресс!,4
СДЭК не отдает полностью оплаченную посылку,1
Спасибо СДЭКу за испорченный Новый год.,1
Компания присваивает посылки клиентов,1
"****, ********, ***** -это всё маты, которыми можно поливать эту службу",1
C компанией CDEK что-то не так...,1
УЖАС!!!!!! Никогда не обращайтесь  в эту компанию!!!!!!!!!!,1
"Экспресс доставка на беременных улитках.  Почему? Потому что это Россия, детка.",2
Беспредел - не отдают посылку,1
"Доставка, не отвечающая за свои обязательства и не понимающая, что происходит внутри неё.",2
НИКОГДА НЕ РАБОТАЙТЕ СО СДЭК!,1
УЖАСНО. Потрачено 2 дня в бесполезном ожидании согласованного курьера. Коллцентр коллапсирует. Связи с офисом нет.,1
"Вполне достойная компания, доставка за 5 дней с Москвы во Владивосток.",4
"Первый раз столкнулась с ними с доставкой из Китая...да, я тоже не ожидала",4
хороша До первого конфликта.,1
Ищите альтернативы,1
Отвратительно всех этапах,1
Компания мошенников,1
Ужасная служба доставки!!! Безответственный курьер!,2
"Ни разу не экспресс, блин!",2
"СДЭК, я вас не узнаю",2
"Иногда стоит переплатить за собственное спокойствие, а не гнаться за сомнительной дешевизной...",5
"Пол года пользовалась услугами компании Сдек, мои впечатления",1
Доставка заказов СДЭК меня неприятно удивила. Хотя тут может быть наложилось много факторов один на другой. Судите сами.,2
Вскрывают посылки.,1
Ужасное отношение к клиентам,1
"Неплохо, офис в НЧК на высоте",5
Груз весом меньше 10кг объемом меньше 0.5 кубометра. От склада сдек в Красногорске до адреса адресата меньше 5км. Доставляем 5 дней. Непонятно как продолжаем работать на конкурентном рынке доставок.,1
Крайне доволен!,5
Новый год 2016 в СДЭК... или 2 часа в день мы тратим на потерянные посылки...,1
Максимальные цены и такие же сроки,1
Отвратительно,1
О службе &quot;эскпресс&quot; доставки СДЭК,1
Хорошая доставка.,5
"Не рекомендую, если цените свое время и нервы.",1
Крайне не довольна этой службой,1
Крайне не правильно работают,1
"Если нужно отправить что-то срочное, не пользуйтесь услугами СДЭК.",1
*Не держат обещания*,1
хорошая служба,5
"УЖАСНО! что-то не нравится,пишите претензии, помочь не можем",1
отвратительно,1
безобразная доставка,1
2 раза в не туда,1
Ужас,1
"Это не экспресс доставка, а медленнее почты",1
Не соблюдают сроки доставки,1
Ужасная транспортная компания,1
отвратительно!!!!,1
Ужас,1
Ужасное обслуживание. Не рекомендую.,1
"Отвратительная служба поддержке, не владеющая информацией. Если вам нужна доставка в срок, это не про СДЭК, вместо тарифных сроков 1-2дня, доставили через 15дн., по вине склада отправили наземной доставкой вместо авиа!  Если произойдет какая-то ошибка с в",1
Не получил посылку,1
Отвратительная служба доставки! Ни в коем случае не пользуйтесь!,1
"Навигатор отличная вещь,советую всем курьерами компании СДЭК приобрести себе.",1
Отвратительно,1
Отвратительное отношение к клиентам!,1
Я очень доволен и восхищён работой персонала и фирмы в целом!,5
Доставка голубями в разы быстрее и ответственнее. Позор!!!,1
Ужас,1
УЖАС!!!,1
Про работу СДЭК в Челябинске,5
Безответственность и хамство,1
Есть очень хорошая служба доставки. Она называется Желдорэкспедиция. ))))) Никогда больше не свяжусь со СДЭКОМ.,1
Уверенности.,5
СДЭК это самая отвратительная Служба доставки,1
"Бессмысленно долго, полное отсутствие сервиса",1
Ужасная компания!,1
Отвратительно!,1
Отвратительно.,1
Не рекомендую,1
безответственность,1
Бардак,1
Самая худшая служба доставки.,1
Трэш,1
(+ФОТО) два разных филиала - два мнения.,4
Издеваются над клиентами,1
Никому не посоветую данную компанию,1
Врагу не пожелаю такую доставку!,1
Отвратительная служба,1
Если есть возможность выбрать другую ТК (пусть даже по-дороже) - ВЫБИРАЙТЕ ДРУГУЮ!!!,1
Ни кому не советую пользоваться услугами компании СДЭК.,1
Шарага,1
Это какой-то кошмар. Ни в коем случае не выбирайте эту доставку,2
"Отвратительная доставка, сам следи за посылкой и ее статусом",1
Ни разу не подводила,5
Разочарование полное,1
"Убогая, медленная, дорогая доставка.",1
"Часто выбираю магазины, где в выборе доставки есть СДЭК.  Мне хоть и ехать через весь город к ним, но знаю что проблем не будет. До этого трек отслеживаю.  Советую пользоваться этой ТК, т.к. за все время (года четыре минимум) проблем нет! Класс!!!!!!!!!!!",5
Никогда не доставляли проблем,5
Дорогие мои. Я больше не буду сотрудничать с этой компанией и вам не советую.,1
Не понравился колл центр,3
Ужасно,1
Не советую,1
Одна из самых худших компаний доставки,1
"Ужас, не связывайтесь",1
